plik,emocja_prawdziwa,emocja_predykcja,zgodność,prawd_emocji_prawidłowej_%,angry_%,disgust_%,fear_%,happy_%,sad_%,surprise_%,neutral_%
FER2013/test\angry\PrivateTest_45986528.jpg,angry,fear,NIE,10.06,10.06,0.0,48.31,0.32,5.29,0.49,35.54
FER2013/test\angry\PrivateTest_41160347.jpg,angry,sad,NIE,1.25,1.25,0.0,11.93,0.0,86.82,0.0,0.0
FER2013/test\angry\PublicTest_28086839.jpg,angry,neutral,NIE,10.25,10.25,0.0,2.67,0.09,13.99,0.15,72.86
FER2013/test\angry\PublicTest_43316380.jpg,angry,fear,NIE,0.87,0.87,0.0,96.39,2.72,0.02,0.0,0.0
FER2013/test\angry\PrivateTest_39402661.jpg,angry,fear,NIE,0.91,0.91,0.0,99.04,0.0,0.06,0.0,0.0
FER2013/test\angry\PublicTest_9227570.jpg,angry,sad,NIE,1.73,1.73,0.0,2.6,0.06,94.95,0.0,0.66
FER2013/test\angry\PublicTest_30869042.jpg,angry,neutral,NIE,0.04,0.04,0.0,0.58,40.97,0.19,0.04,58.18
FER2013/test\angry\PrivateTest_7783111.jpg,angry,sad,NIE,3.79,3.79,0.0,1.15,0.0,95.06,0.0,0.0
FER2013/test\angry\PublicTest_47760796.jpg,angry,disgust,NIE,28.36,28.36,50.11,2.54,0.06,3.99,14.15,0.79
FER2013/test\angry\PublicTest_50685895.jpg,angry,angry,TAK,34.56,34.56,1.91,33.75,1.91,9.33,1.16,17.38
FER2013/test\angry\PrivateTest_19907331.jpg,angry,fear,NIE,19.27,19.27,0.0,78.43,1.34,0.01,0.96,0.0
FER2013/test\angry\PublicTest_28052854.jpg,angry,sad,NIE,2.24,2.24,0.0,0.11,0.0,97.65,0.0,0.01
FER2013/test\angry\PrivateTest_30069587.jpg,angry,happy,NIE,0.62,0.62,0.0,0.03,98.8,0.0,0.44,0.11
FER2013/test\angry\PrivateTest_27811265.jpg,angry,surprise,NIE,1.13,1.13,0.0,15.81,2.39,0.03,80.62,0.01
FER2013/test\angry\PrivateTest_94619149.jpg,angry,angry,TAK,92.51,92.51,0.11,1.56,0.01,5.12,0.03,0.67
FER2013/test\angry\PublicTest_47997171.jpg,angry,angry,TAK,97.21,97.21,0.51,1.8,0.0,0.42,0.0,0.06
FER2013/test\angry\PublicTest_48511728.jpg,angry,angry,TAK,39.69,39.69,0.01,8.8,0.0,38.5,0.0,12.99
FER2013/test\angry\PrivateTest_58143145.jpg,angry,happy,NIE,0.13,0.13,0.0,0.0,98.74,0.0,0.04,1.09
FER2013/test\angry\PublicTest_82700651.jpg,angry,angry,TAK,98.24,98.24,0.0,0.02,0.08,0.07,0.0,1.58
FER2013/test\angry\PrivateTest_46244877.jpg,angry,fear,NIE,4.08,4.08,0.0,95.92,0.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_28848742.jpg,angry,angry,TAK,74.05,74.05,0.0,2.22,0.0,8.44,0.0,15.29
FER2013/test\angry\PublicTest_60260657.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_54071578.jpg,angry,neutral,NIE,26.49,26.49,0.18,11.94,1.42,8.02,16.33,35.62
FER2013/test\angry\PrivateTest_28463343.jpg,angry,angry,TAK,98.88,98.88,0.0,0.02,0.0,1.09,0.0,0.0
FER2013/test\angry\PublicTest_43332731.jpg,angry,fear,NIE,0.0,0.0,0.0,96.17,0.0,0.0,3.83,0.0
FER2013/test\angry\PrivateTest_35694338.jpg,angry,sad,NIE,0.0,0.0,0.0,0.02,0.0,99.52,0.0,0.46
FER2013/test\angry\PrivateTest_48643898.jpg,angry,neutral,NIE,0.75,0.75,0.0,0.02,0.0,19.1,0.0,80.13
FER2013/test\angry\PublicTest_77142981.jpg,angry,angry,TAK,93.16,93.16,0.01,6.18,0.61,0.02,0.02,0.0
FER2013/test\angry\PublicTest_40811515.jpg,angry,angry,TAK,79.73,79.73,0.0,0.12,13.31,6.41,0.0,0.44
FER2013/test\angry\PublicTest_74133311.jpg,angry,angry,TAK,97.73,97.73,0.0,1.57,0.0,0.17,0.51,0.02
FER2013/test\angry\PrivateTest_41308674.jpg,angry,angry,TAK,90.83,90.83,0.0,3.69,0.0,5.39,0.0,0.09
FER2013/test\angry\PrivateTest_68166022.jpg,angry,angry,TAK,99.03,99.03,0.0,0.92,0.01,0.02,0.01,0.0
FER2013/test\angry\PublicTest_57918595.jpg,angry,fear,NIE,6.45,6.45,0.23,73.09,19.45,0.24,0.42,0.12
FER2013/test\angry\PrivateTest_85003347.jpg,angry,neutral,NIE,0.19,0.19,0.0,0.09,0.16,1.18,0.0,98.38
